Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose16,16,19.460,89.708,4,1,3,3.000,-171.850535,-11.057713,-181.163446,-22.6589359,4.4,-15.99304231,0
Pose19,19,19.860,110.281,4,0,3,3.000,642.038679,-7.43331525,-120.490645,-15.5387541,0.8,-13.18487869,0
Pose18,18,19.500,95.258,4,0,3,3.000,-168.289069,-9.08329118,-171.061088,-22.6974696,9.2,-11.22772264,0
Pose14,14,21.280,80.116,2001,0,1,1.000,-61.5855529,-6.37883586,-193.403255,-24.0258323,14.7,-6.92324907,0
Pose12,12,19.820,62.499,1,0,6,6.000,15.360929,-0.366580532,-189.754462,-17.7719479,12.6,-3.39475311,0
Pose15,15,21.480,81.391,1,0,6,6.000,-41.9929701,-4.65309076,-191.694707,-19.5698148,14.5,-3.11283332,0
Pose11,11,20.780,47.403,1,0,6,6.000,-95.1727416,0.286781708,-166.962896,-16.6075117,14.5,-0.446760530000001,0
Pose10,10,20.060,40.134,1,0,6,6.000,-104.920626,-6.39429554,-202.854423,-13.1153179,11.7,-0.103786110000001,0
Pose17,17,19.680,95.034,2001,0,1,1.000,1125.01964,1.64694219,-85.4172939,-13.5210989,12.4,0.23101099,0
Pose6,6,20.640,21.302,2001,1,1,1.000,1036.06437,1.32950971,-83.7561928,-12.0225228,11.5,0.679729479999999,0
Pose9,9,19.340,35.272,1,1,6,6.000,-137.491052,0.879635321,-145.567273,-19.8714535,19.9,2.01569185,0
Pose13,13,19.420,78.808,1,0,6,6.000,-194.449871,0.86762012,-187.395049,-9.75855711,13.7,4.917298601,0
Pose1,1,20.860,-52.422,2,1,3,3.000,-142.927688,-3.64286854,-145.684749,-10.3347912,15.4,6.09868792,0
Pose5,5,21.540,-20.269,3,0,3,3.000,-135.247158,-3.32203932,-139.572679,-10.2271537,17.2,7.99556167,0
Pose8,8,19.860,32.175,2001,0,1,1.000,-164.865122,-4.7902453,-156.789935,-7.11895091,17.0,10.592944181,0
Pose7,7,19.460,30.964,3,0,3,3.000,-124.520316,-7.03136526,-147.672292,-8.36717115,19.9,12.369545965,0
Pose4,4,19.580,-20.763,2,0,3,3.000,-65.9703325,-7.45705689,-154.10586,-6.91078113,19.4,13.180296983,0
Pose2,2,21.340,-46.026,2,0,3,3.000,-155.336736,-2.20684878,-157.868815,-3.92446817,21.6,18.067978647,0
Pose3,3,19.480,-30.709,3,1,3,3.000,151.436469,-4.44253469,-158.813455,-3.71854469,27.0,23.653309779,0
