Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose1433,1433,20.100,20.321,31,0,17,15.000,-72.4496587,-5.94614818,-123.194805,-60.536987,19.6,-34.8832883,0
Pose337,337,17.160,-41.798,46,0,12,11.000,-88.7569237,-7.54984795,-97.8416256,-43.2018113,5.4,-33.48163017,0
Pose299,299,16.780,-44.688,2001,0,1,5.000,-115.64908,-0.226338632,-115.811816,-49.1355771,12.6,-31.62201939,0
Pose1334,1334,17.120,13.836,50,0,12,9.000,-55.5245116,-3.53986622,-129.934811,-35.9874084,5.8,-26.58866756,0
Pose1245,1245,17.520,7.809,2001,0,1,5.000,0.119099039,-5.20052065,-152.362256,-32.2591806,2.7,-26.33326254,0
Pose593,593,16.980,-24.576,2001,0,1,8.000,-63.6297247,-9.69890763,-114.709882,-23.2507828,-4.3,-25.22570452,0
Pose240,240,16.600,-49.342,2001,0,1,1.000,-118.059872,-1.897388766E-02,-112.505759,-38.7504592,9.9,-24.97541328,0
Pose1367,1367,16.800,15.384,41,0,13,13.000,-123.874689,0.139842227,-125.796417,-55.6178255,25.1,-24.95604295,0
Pose749,749,20.320,-17.148,14,0,23,20.000,-87.3624192,-12.6422536,-150.868961,-36.9424667,8.6,-24.64822003,0
Pose140,140,22.320,-58.400,50,0,12,20.000,-97.2099135,-5.67062143,-134.490235,-36.0060118,7.9,-24.50541062,0
Pose478,478,17.160,-30.819,2001,0,1,1.000,119.419588,-2.01310346,-114.831091,-42.2449399,13.7,-24.32044591,0
Pose273,273,17.800,-46.729,67,0,8,9.000,-134.01338,-2.34812707,-134.462063,-59.7021632,29.8,-23.93194688,0
Pose1365,1365,16.800,15.153,31,0,17,15.000,-136.68154,-5.03498464,-136.320825,-59.8620549,30.0,-23.87584941,0
Pose1230,1230,19.080,6.613,2001,0,1,22.000,-59.7084981,-3.42235689,-147.709247,-36.0705733,8.6,-23.86351597,0
Pose625,625,18.960,-22.697,49,0,12,12.000,110.308837,-10.2894175,-132.60431,-35.8351214,8.4,-23.85160926,0
Pose1223,1223,16.900,6.220,67,0,8,9.000,-116.397162,1.84509982,-127.85017,-53.7768441,24.7,-23.69915969,0
Pose617,617,18.740,-23.167,21,0,19,15.000,355.662361,-9.59396612,-131.795114,-34.8701756,7.9,-23.48315804,0
Pose324,324,18.480,-42.868,41,1,13,13.000,-114.021779,-4.91708151,-123.70896,-58.8984831,30.1,-22.90863479,0
Pose1436,1436,16.800,20.379,26,0,18,15.000,361.159111,-3.39817074,-102.260977,-26.8742954,1.3,-22.88686586,0
Pose53,53,21.700,-71.133,2001,0,1,11.000,-154.058641,-1.81168481,-150.762761,-33.6312597,7.4,-22.86813373,0
Pose30,30,18.040,-79.301,2001,0,1,9.000,-123.526928,-1.50965544,-136.964129,-29.6707365,4.3,-22.40366285,0
Pose1212,1212,16.620,5.465,41,0,13,13.000,-116.202655,1.18936411,-121.286882,-58.5644867,30.6,-22.10803803,0
Pose48,48,17.100,-72.275,2001,0,1,1.000,-91.8011613,-13.3788272,-125.109208,-43.4853369,17.1,-22.03680321,0
Pose1149,1149,17.540,2.864,2001,0,1,7.000,-94.6351799,-7.29838716,-120.197159,-21.1615112,-2.7,-21.74536008,0
Pose37,37,18.260,-75.524,54,1,11,6.000,-99.0067033,-2.1894543,-119.565679,-33.3143266,8.4,-21.58289394,0
Pose4,4,17.700,-97.948,39,1,14,13.000,-128.98192,-17.6901592,-138.807502,-39.5817025,14.1,-21.52353225,0
Pose1366,1366,17.560,15.267,14,0,23,23.000,-139.501216,-2.00577618,-129.1887,-34.6988942,9.9,-21.32900478,0
Pose530,530,17.040,-28.139,14,0,23,21.000,617.691232,-11.0846362,6.41145359,-31.3594557,7.0,-21.22351013,0
